MSFS-Net Evaluation on LOL-Blur Dataset
==================================================
Total images : 1800
Average PSNR : 8.560 dB
Average SSIM : 0.2379

Per-image results:
  Image 0001: PSNR=9.061  SSIM=0.1380
  Image 0002: PSNR=9.046  SSIM=0.1456
  Image 0003: PSNR=8.995  SSIM=0.1400
  Image 0004: PSNR=8.855  SSIM=0.1174
  Image 0005: PSNR=8.933  SSIM=0.1428
  Image 0006: PSNR=8.872  SSIM=0.1417
  Image 0007: PSNR=8.688  SSIM=0.1167
  Image 0008: PSNR=8.687  SSIM=0.1132
  Image 0009: PSNR=8.751  SSIM=0.1128
  Image 0010: PSNR=8.862  SSIM=0.1171
  Image 0011: PSNR=8.908  SSIM=0.1107
  Image 0012: PSNR=8.976  SSIM=0.1118
  Image 0013: PSNR=9.034  SSIM=0.1108
  Image 0014: PSNR=9.087  SSIM=0.1118
  Image 0015: PSNR=9.273  SSIM=0.1390
  Image 0016: PSNR=9.406  SSIM=0.1445
  Image 0017: PSNR=9.482  SSIM=0.1412
  Image 0018: PSNR=9.465  SSIM=0.1381
  Image 0019: PSNR=9.446  SSIM=0.1258
  Image 0020: PSNR=9.438  SSIM=0.1245
  Image 0021: PSNR=9.422  SSIM=0.1292
  Image 0022: PSNR=9.351  SSIM=0.1252
  Image 0023: PSNR=9.387  SSIM=0.1341
  Image 0024: PSNR=9.394  SSIM=0.1292
  Image 0025: PSNR=9.385  SSIM=0.1203
  Image 0026: PSNR=9.344  SSIM=0.1180
  Image 0027: PSNR=9.323  SSIM=0.1196
  Image 0028: PSNR=9.284  SSIM=0.1169
  Image 0029: PSNR=9.223  SSIM=0.1142
  Image 0030: PSNR=9.203  SSIM=0.1150
  Image 0031: PSNR=11.030  SSIM=0.5198
  Image 0032: PSNR=10.972  SSIM=0.5159
  Image 0033: PSNR=10.869  SSIM=0.5105
  Image 0034: PSNR=10.833  SSIM=0.5133
  Image 0035: PSNR=10.796  SSIM=0.5188
  Image 0036: PSNR=10.794  SSIM=0.5229
  Image 0037: PSNR=10.776  SSIM=0.5196
  Image 0038: PSNR=10.867  SSIM=0.5282
  Image 0039: PSNR=10.849  SSIM=0.5222
  Image 0040: PSNR=10.885  SSIM=0.5291
  Image 0041: PSNR=10.885  SSIM=0.5149
  Image 0042: PSNR=11.067  SSIM=0.5229
  Image 0043: PSNR=11.102  SSIM=0.5105
  Image 0044: PSNR=11.182  SSIM=0.5076
  Image 0045: PSNR=11.329  SSIM=0.5157
  Image 0046: PSNR=11.341  SSIM=0.5013
  Image 0047: PSNR=11.398  SSIM=0.5059
  Image 0048: PSNR=11.366  SSIM=0.5135
  Image 0049: PSNR=11.446  SSIM=0.5179
  Image 0050: PSNR=11.496  SSIM=0.5152
  Image 0051: PSNR=11.386  SSIM=0.5283
  Image 0052: PSNR=11.157  SSIM=0.5168
  Image 0053: PSNR=11.065  SSIM=0.5197
  Image 0054: PSNR=11.064  SSIM=0.5311
  Image 0055: PSNR=11.019  SSIM=0.5368
  Image 0056: PSNR=10.866  SSIM=0.5373
  Image 0057: PSNR=10.737  SSIM=0.5382
  Image 0058: PSNR=10.617  SSIM=0.5379
  Image 0059: PSNR=10.483  SSIM=0.5218
  Image 0060: PSNR=10.498  SSIM=0.5149
  Image 0061: PSNR=6.251  SSIM=0.0673
  Image 0062: PSNR=6.249  SSIM=0.0709
  Image 0063: PSNR=6.252  SSIM=0.0688
  Image 0064: PSNR=6.298  SSIM=0.0724
  Image 0065: PSNR=6.261  SSIM=0.0727
  Image 0066: PSNR=6.289  SSIM=0.0723
  Image 0067: PSNR=6.271  SSIM=0.0717
  Image 0068: PSNR=6.329  SSIM=0.0751
  Image 0069: PSNR=6.292  SSIM=0.0719
  Image 0070: PSNR=6.276  SSIM=0.0709
  Image 0071: PSNR=6.337  SSIM=0.0751
  Image 0072: PSNR=6.264  SSIM=0.0689
  Image 0073: PSNR=6.196  SSIM=0.0656
  Image 0074: PSNR=6.181  SSIM=0.0639
  Image 0075: PSNR=6.230  SSIM=0.0741
  Image 0076: PSNR=6.206  SSIM=0.0732
  Image 0077: PSNR=6.236  SSIM=0.0738
  Image 0078: PSNR=6.130  SSIM=0.0648
  Image 0079: PSNR=6.166  SSIM=0.0658
  Image 0080: PSNR=6.234  SSIM=0.0724
  Image 0081: PSNR=6.275  SSIM=0.0758
  Image 0082: PSNR=6.219  SSIM=0.0736
  Image 0083: PSNR=6.235  SSIM=0.0726
  Image 0084: PSNR=6.313  SSIM=0.0735
  Image 0085: PSNR=6.335  SSIM=0.0762
  Image 0086: PSNR=6.246  SSIM=0.0679
  Image 0087: PSNR=6.219  SSIM=0.0701
  Image 0088: PSNR=6.222  SSIM=0.0727
  Image 0089: PSNR=6.212  SSIM=0.0712
  Image 0090: PSNR=6.303  SSIM=0.0742
  Image 0091: PSNR=7.936  SSIM=0.2674
  Image 0092: PSNR=7.910  SSIM=0.2697
  Image 0093: PSNR=7.898  SSIM=0.2862
  Image 0094: PSNR=7.839  SSIM=0.2787
  Image 0095: PSNR=7.729  SSIM=0.2492
  Image 0096: PSNR=7.857  SSIM=0.2626
  Image 0097: PSNR=7.843  SSIM=0.2680
  Image 0098: PSNR=7.694  SSIM=0.2528
  Image 0099: PSNR=7.727  SSIM=0.2632
  Image 0100: PSNR=7.765  SSIM=0.2480
  Image 0101: PSNR=7.767  SSIM=0.2543
  Image 0102: PSNR=7.656  SSIM=0.2454
  Image 0103: PSNR=7.615  SSIM=0.2350
  Image 0104: PSNR=7.632  SSIM=0.2578
  Image 0105: PSNR=7.758  SSIM=0.2559
  Image 0106: PSNR=7.877  SSIM=0.2665
  Image 0107: PSNR=7.821  SSIM=0.2718
  Image 0108: PSNR=7.758  SSIM=0.2716
  Image 0109: PSNR=7.810  SSIM=0.2818
  Image 0110: PSNR=7.746  SSIM=0.2692
  Image 0111: PSNR=7.750  SSIM=0.2659
  Image 0112: PSNR=7.701  SSIM=0.2711
  Image 0113: PSNR=7.685  SSIM=0.2707
  Image 0114: PSNR=7.640  SSIM=0.2663
  Image 0115: PSNR=7.757  SSIM=0.2543
  Image 0116: PSNR=7.852  SSIM=0.2572
  Image 0117: PSNR=7.852  SSIM=0.2398
  Image 0118: PSNR=7.882  SSIM=0.2181
  Image 0119: PSNR=7.935  SSIM=0.2127
  Image 0120: PSNR=8.128  SSIM=0.2166
  Image 0121: PSNR=12.044  SSIM=0.1551
  Image 0122: PSNR=12.139  SSIM=0.1614
